_id,page,repo_dcount,repo_forks,repo_last_mod,repo_link,repo_name,repo_owner,repo_ref,repo_stars,repo_watch
{'$oid': '5cd4a00e44d2ad99fae4dac4'},https://github.com/yoonkim/lstm-char-cnn,,219,2016-03-15T17:40:30Z,https://github.com/yoonkim/lstm-char-cnn,LSTM language model with CNN over characters,https://github.com/yoonkim,,776,62
{'$oid': '5cd4a00f44d2ad99fae4dac5'},https://github.com/carpedm20/lstm-char-cnn-tensorflow,,249,2017-04-02T18:16:47Z,https://github.com/carpedm20/lstm-char-cnn-tensorflow,in progress,https://github.com/carpedm20,,717,62
{'$oid': '5cd4a00f44d2ad99fae4dac6'},https://github.com/jcjohnson/cnn-vis,,115,2015-07-01T22:51:42Z,https://github.com/jcjohnson/cnn-vis,Use CNNs to generate images,https://github.com/jcjohnson,,490,39
{'$oid': '5cd4a00f44d2ad99fae4dac7'},https://github.com/jzbontar/mc-cnn,,199,2017-08-18T21:25:14Z,https://github.com/jzbontar/mc-cnn,Stereo Matching by Training a Convolutional Neural Network to Compare Image Patches,https://github.com/jzbontar,,528,53
{'$oid': '5cd4a00f44d2ad99fae4dac8'},https://github.com/rbgirshick/caffe-fast-rcnn,,379,2015-08-09T08:45:09Z,https://github.com/rbgirshick/caffe-fast-rcnn,Caffe fork that supports Fast R-CNN,https://github.com/rbgirshick,,312,27
{'$oid': '5cd4a00f44d2ad99fae4dac9'},https://github.com/gnawice/mojo-cnn,,47,2018-07-11T16:51:51Z,https://github.com/gnawice/mojo-cnn,mojo cnn: c++ convolutional neural network,https://github.com/gnawice,,135,12
{'$oid': '5cd4a00f44d2ad99fae4daca'},https://github.com/vedaldi/practical-cnn,,77,2017-11-27T16:26:30Z,https://github.com/vedaldi/practical-cnn,A VGG practical on convolutional neural networks,https://github.com/vedaldi,,145,13
{'$oid': '5cd4a00f44d2ad99fae4dacb'},https://github.com/gidariss/mrcnn-object-detection,,74,2016-04-06T17:40:31Z,https://github.com/gidariss/mrcnn-object-detection,Object detection via a multi-region & semantic segmentation-aware CNN model,https://github.com/gidariss,,100,13
{'$oid': '5cd4a00f44d2ad99fae4dacc'},https://github.com/s-gupta/rcnn-depth,,137,2016-10-07T05:34:04Z,https://github.com/s-gupta/rcnn-depth,Learning Rich Features from RGB-D Images for Object Detection and Segmentation,https://github.com/s-gupta,,273,27
{'$oid': '5cd4a01044d2ad99fae4dacd'},https://github.com/mitmul/ssai-cnn,,74,2017-12-27T04:01:47Z,https://github.com/mitmul/ssai-cnn,Semantic Segmentation for Aerial / Satellite Images with Convolutional Neural Networks including an unofficial implementation of Volodymyr Mnih's methods,https://github.com/mitmul,,223,15
{'$oid': '5cd4a01044d2ad99fae4dace'},https://github.com/jimmy-ren/vcnn_double-bladed,,107,2016-04-02T09:32:44Z,https://github.com/jimmy-ren/vcnn_double-bladed,Vectorized implementation of convolutional neural networks (CNN) in Matlab for both visual recognition and image processing.,https://github.com/jimmy-ren,,106,17
{'$oid': '5cd4a01044d2ad99fae4dacf'},https://github.com/taolei87/rcnn,,120,2018-01-13T00:30:48Z,https://github.com/taolei87/rcnn,Recurrent & convolutional neural network modules,https://github.com/taolei87,,302,23
{'$oid': '5cd4a01044d2ad99fae4dad0'},https://github.com/aosokin/cnn_head_detection,,65,2016-09-21T18:09:33Z,https://github.com/aosokin/cnn_head_detection,"Code for ICCV 2015 paper ""Context-aware CNNs for person head detection""",https://github.com/aosokin,,162,16
{'$oid': '5cd4a01044d2ad99fae4dad1'},https://github.com/suhangpro/mvcnn,,99,2019-01-03T20:27:20Z,https://github.com/suhangpro/mvcnn,Multi-view CNN (MVCNN) for shape recognition,https://github.com/suhangpro,,209,14
{'$oid': '5cd4a01044d2ad99fae4dad2'},https://github.com/ijkguo/mx-rcnn,,268,2018-08-25T17:46:45Z,https://github.com/ijkguo/mx-rcnn,Parallel Faster R-CNN implementation with MXNet.,https://github.com/ijkguo,,607,43
{'$oid': '5cd4a01044d2ad99fae4dad3'},https://github.com/chengtaipu/lowrankcnn,,42,2016-03-24T02:37:11Z,https://github.com/chengtaipu/lowrankcnn,Low-rank convolutional neural networks,https://github.com/chengtaipu,,78,11
{'$oid': '5cd4a01044d2ad99fae4dad4'},https://github.com/charlesq34/3dcnn.torch,,66,2017-04-19T18:55:33Z,https://github.com/charlesq34/3dcnn.torch,Volumetric CNN for feature extraction and object classification on 3D data.,https://github.com/charlesq34,,166,16
{'$oid': '5cd4a01044d2ad99fae4dad5'},https://github.com/jhjin/flattened-cnn,,20,2015-09-17T17:08:00Z,https://github.com/jhjin/flattened-cnn,Flattened convolutional neural networks (1D convolution modules for Torch nn),https://github.com/jhjin,,58,6
{'$oid': '5cd4a01044d2ad99fae4dad6'},https://github.com/ecobost/cnn4brca,,46,2017-04-22T05:25:28Z,https://github.com/ecobost/cnn4brca,Using Convolutional Neural Networks (CNN) for Semantic Segmentation of Breast Cancer Lesions (BRCA). Master's thesis,https://github.com/ecobost,,60,8
{'$oid': '5cd4a01144d2ad99fae4dad7'},https://github.com/vedaldi/practical-cnn-reg,,13,2016-03-22T13:47:49Z,https://github.com/vedaldi/practical-cnn-reg,A CNN practical focusing on image to image regression,https://github.com/vedaldi,,21,5
{'$oid': '5cd4a01144d2ad99fae4dad8'},https://github.com/pathak22/ccnn,,25,2016-05-03T15:59:17Z,https://github.com/pathak22/ccnn,[ICCV 2015] Framework for optimizing CNNs with linear constraints for Semantic Segmentation,https://github.com/pathak22,,53,5
{'$oid': '5cd4a01144d2ad99fae4dad9'},https://github.com/xuzhenqi/cnn,,51,2016-11-22T10:03:26Z,https://github.com/xuzhenqi/cnn,This is a matlab-code implementation of convolutional neural network,https://github.com/xuzhenqi,,56,8
{'$oid': '5cd4a01144d2ad99fae4dada'},https://github.com/zhengshou/scnn,,90,2019-03-02T20:25:16Z,https://github.com/zhengshou/scnn,Segment-CNN: A Framework for Temporal Action Localization in Untrimmed Videos via Multi-stage CNNs,https://github.com/zhengshou,,172,10
{'$oid': '5cd4a01144d2ad99fae4dadb'},https://github.com/kjchavez/cnn-project,,11,2017-09-23T15:42:40Z,https://github.com/kjchavez/cnn-project,Project for CS 231N,https://github.com/kjchavez,,29,4
{'$oid': '5cd4a01244d2ad99fae4dadc'},https://github.com/willard-yuan/flask-keras-cnn-image-retrieval,,106,2018-12-26T15:13:12Z,https://github.com/willard-yuan/flask-keras-cnn-image-retrieval,,https://github.com/willard-yuan,,256,26
{'$oid': '5cd4a01244d2ad99fae4dadd'},https://github.com/vitruvianscience/faster_r_cnn,,4,2015-11-07T21:50:41Z,https://github.com/vitruvianscience/faster_r_cnn,"Implementation of ""Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks""",https://github.com/vitruvianscience,,9,4
{'$oid': '5cd4a01244d2ad99fae4dade'},https://github.com/DeepCompute/cnn,,81,2016-08-21T08:14:21Z,https://github.com/DeepCompute/cnn,基于Java实现CNN，并附MNIST和语音（MFCC特征）性别识别示例。,https://github.com/DeepCompute,,91,14
{'$oid': '5cd4a01244d2ad99fae4dadf'},https://github.com/libcnn/libcnn,,17,2015-11-16T08:04:24Z,https://github.com/libcnn/libcnn,libcnn++,https://github.com/libcnn,,22,6
